tweets	label	preprocessed
"#StopProvokasi tu ka.
Otsus itu par masyarakat Papua pung kesejahteraan, seharusnya Otsus itu dievaluasi bukan ditolak.
Jadi stop deng tolak-tolak."	Non_R	 stopprovokasi tu ka otsus itu par masyarakat papua pung kesejahteraan seharusnya otsus itu dievaluasi bukan ditolak jadi stop deng tolak tolak 
"Lalu apa fungsi perwakilan rakyat papua itu? Alias DPRD Papua. 
Bukankah yg memilih mrk adalah rakyat papua? Sehingga mrk bs duduk sbg wakil rakyat. 
Ketika anggaran otsus tdk tepat sasaran. 
Wakil rakyatlah yg pertama harus mencegah itu & Kepala daerah jg wajib putra daerah."	Non_R	lalu apa fungsi perwakilan rakyat papua itu alias dprd papua bukankah yg memilih mrk adalah rakyat papua sehingga mrk bs duduk sbg wakil rakyat ketika anggaran otsus tdk tepat sasaran wakil rakyatlah yg pertama harus mencegah itu kepala daerah jg wajib putra daerah 
Kami bersama Papua #WeLovePapua #PapuaDamai #NKRIDamai	Non_R	kami bersama papua welovepapua papuadamai nkridamai
Nah ini saya sepakat dengan pak john otsus papua itu perlu dievaluasi agar pelaksanaan otsus semakin baik kedepannya, bukannya malah ditolak.  pic.twitter.com/XJdlbEt3QX	Non_R	nah ini saya sepakat dengan pak john otsus papua itu perlu dievaluasi agar pelaksanaan otsus semakin baik kedepannya bukannya malah ditolak 
Justru yg ada didalam draf RUU BPIP adalah BPIP untuk memperkuat Pancasila sebagai ideologi negara!! pic.twitter.com/AJbmn7f108	Non_R	justru yg ada didalam draf ruu bpip adalah bpip untuk memperkuat pancasila sebagai ideologi negara 
"Bapak @jokowi harusnya berbuat adil kepada saudara kita yg dari Papua..
Cobalah sekali2 menggunakan pakaian adat mereka pastinya mrk sangat bangga & bahagia apalagi jika digunakan pada pertemuan2 Internasional pastinya para Tokoh dunia akan terkagum2 melihatnya krn luar biasa..  https://twitter.com/jokowi/status/1294120858173050880 …"	Non_R	bapak harusnya berbuat adil kepada saudara kita yg dari papua cobalah sekali2 menggunakan pakaian adat mereka pastinya mrk sangat bangga bahagia apalagi jika digunakan pada pertemuan2 internasional pastinya para tokoh dunia akan terkagum2 melihatnya krn luar biasa 
Saya salah satunya Sangat Mendukung banget Dengan adanya OTSUS Untuk Papua, karena Pada dasarnya OTSUS Yang6 dilakukan pemerintah untuk Papua akan membuat Papua terbantu dan makin maju #DukungOtsusPapuaMaju	Non_R	saya salah satunya sangat mendukung banget dengan adanya otsus untuk papua karena pada dasarnya otsus yang6 dilakukan pemerintah untuk papua akan membuat papua terbantu dan makin maju dukungotsuspapuamaju
"Perlu nya cek dan evaluasi dana otsus papua agar ada sinkronisasi program pemerintah pusat & pemerintah daerah. Dan dana #OtsusPapua tepat penggunaannya. 
#DukungOtsusPapuaMaju"	Non_R	perlu nya cek dan evaluasi dana otsus papua agar ada sinkronisasi program pemerintah pusat pemerintah daerah dan dana otsuspapua tepat penggunaannya dukungotsuspapuamaju
cara menggunakan minyak lintah cukup diurut dari pangkal ke ujung  http://goo.gl/pSFHvL   087782799966/pin 233a27fb . #minyakpembesarpenis	Non_R	cara menggunakan minyak lintah cukup diurut dari pangkal ke ujung 
"PLAY & Let The Fun Begin 😱
Like + RT + Click ⬇️
 https://www.reddeergames.com 
Did You see it? 🙈 pic.twitter.com/45a6EF3ixr"	Non_R	play let the fun begin like click did you see it 
"Papua adalah bagian dari NKRI. Dengan adanya Otsus Papua langkah tepat untuk kemajuan pembangunan  dan kesejahteraan masyarakat Papua.

 Papua maju kebanggan NKRI #DukungOtsusPapuaMaju"	Non_R	papua adalah bagian dari nkri dengan adanya otsus papua langkah tepat untuk kemajuan pembangunan dan kesejahteraan masyarakat papua papua maju kebanggan nkri dukungotsuspapuamaju
"Ada yg menarik di link tsb. Veronika siap di asingkan pemerintah jika aktivitasnya  dianggap tdk pro NKRI. 

Apakah berarti niat dia, pd awalnya, tetap pd garis ""papua bagian dari NKRI""?

Ini yg hrs di korek"	Non_R	ada yg menarik di link tsb veronika siap di asingkan pemerintah jika aktivitasnya dianggap tdk pro nkri apakah berarti niat dia pd awalnya tetap pd garis papua bagian dari nkri ini yg hrs di korek
Papua Sejumlah Remaja di Solo dijemput polisi dalam kasus perundungan  http://dlvr.it/Rdf2sX  pic.twitter.com/h53FR8btHy	Non_R	papua sejumlah remaja di solo dijemput polisi dalam kasus perundungan 
"Buah Naga Terserang Hama Cacar, Petani di Arso 14 Beralih Tanam Nenas Madu  https://www.bogopapua.net/buah-naga-terserang-hama-cacar-petani-di-arso-14-beralih-tanam-nenas-madu/ …
#COVID19 #JanganRemehkanCovid19 #Papua #PPID #buahnaga"	Non_R	buah naga terserang hama cacar petani di arso 14 beralih tanam nenas madu covid19 janganremehkancovid19 papua ppid buahnaga
Coba pak jokowi pakai & sering pakai pakaian adat papua di acara kenegaraan...utk buktikan kebanggaan pd budaya papua bukan cuma mau kekayaan alamnya aja, meredakan opm, meningkatkan rasa percaya diri warga papua pd budayanya & membangun papua...	Non_R	coba pak jokowi pakai sering pakai pakaian adat papua di acara kenegaraan utk buktikan kebanggaan pd budaya papua bukan cuma mau kekayaan alamnya aja meredakan opm meningkatkan rasa percaya diri warga papua pd budayanya membangun papua 
"Karna kita Sayang Papua... 
Satu Hati #DukungOtsusPapuaMaju"	Non_R	karna kita sayang papua satu hati dukungotsuspapuamaju
"Kenapa saya baru buka ini semua sekarang?

Karena saya tidak ingin ambil spotlight dari para tapol Papua. Mereka jauh lebih penting dikampanyekan daripada saya individu sendiri. Kini setengah dari tapol makar Papua sudah keluar, sisa 11 di Sorong dan 23 di Fakfak sedang sidang."	Non_R	kenapa saya baru buka ini semua sekarang karena saya tidak ingin ambil spotlight dari para tapol papua mereka jauh lebih penting dikampanyekan daripada saya individu sendiri kini setengah dari tapol makar papua sudah keluar sisa 11 di sorong dan 23 di fakfak sedang sidang 
Yesss Papua Indonesia #DukungOtsusPapuaMaju	Non_R	yesss papua indonesia dukungotsuspapuamaju
@NataliusPigai2 Natalius Pigai Menduga Presiden Jokowi Rasis dan Benci Papua  https://inikatasultra.com/2020/08/14/natalius-pigai-menduga-presiden-jokowi-rasis-dan-benci-papua/ …	Non_R	 natalius pigai menduga presiden jokowi rasis dan benci papua 
"Ones Bonay adalah sosok pejuang Papua yang menjadi saksi hidup perubahan Papua semenjak adanya dana #OtsusPapua. Ia berharap Otsus Jilid II tetap dijalankan dan dana otsus dapat menyentuh ke masyarakat paling bawah, bukan untuk para pejabat.
@elpanjullo @RahyaMaya @Gond_rong pic.twitter.com/0tWjITY7hZ"	Non_R	ones bonay adalah sosok pejuang papua yang menjadi saksi hidup perubahan papua semenjak adanya dana otsuspapua ia berharap otsus jilid ii tetap dijalankan dan dana otsus dapat menyentuh ke masyarakat paling bawah bukan untuk para pejabat 
"update covid-19 Provinsi Papua 
tgl. 14 agustus 2020  pic.twitter.com/yxGllLEg3T"	Non_R	update covid 19 provinsi papua tgl 14 agustus 2020 
"Papua juga berhak Maju... 
Satu Hati #DukungOtsusPapuaMaju"	Non_R	papua juga berhak maju satu hati dukungotsuspapuamaju
Otsus dianggap sangat efektif untuk mensejahterakan rakyat Papua!! dimana selama ini Otsus sudah banyak berkontribusi dari berbagai aspek, diantaranya adalah infrastruktur, pendidikan dan kesehatan!!!  pic.twitter.com/6hP8HTx9DH	Non_R	otsus dianggap sangat efektif untuk mensejahterakan rakyat papua dimana selama ini otsus sudah banyak berkontribusi dari berbagai aspek diantaranya adalah infrastruktur pendidikan dan kesehatan 
Harus ada jaminan dari para pejabat di papua kalo otsus harus tpt sasaran,  diperuntukkan utk masyarakat Papua. Harus ada jaminan kalo otsus diperpanjang tdk ada lagi busung lapar di Papua.	Non_R	harus ada jaminan dari para pejabat di papua kalo otsus harus tpt sasaran diperuntukkan utk masyarakat papua harus ada jaminan kalo otsus diperpanjang tdk ada lagi busung lapar di papua 
Kami orng papua butuh kedamain dan keadilan sesusai dng UUD 45 dan lmbngn burung garuda.....	Non_R	kami orng papua butuh kedamain dan keadilan sesusai dng uud 45 dan lmbngn burung garuda 
"Papua adalah kita 
#DukungOtsusPapuaMaju"	Non_R	papua adalah kita dukungotsuspapuamaju
Otsus untuk kemajuan papua #DukungOtsusPapuaMaju	Non_R	otsus untuk kemajuan papua dukungotsuspapuamaju
"OTSUS DI KEMBALIKAN KE JAKARTA KARENA NKRI ILEGAL DI ATAS TANAH PAPUA.

TDK ADA CERITA OMONG KOSONG EVALUASI DAN REVISI UU OTSUS. CERITA LAMA.

NKRI ILEGAL DI WEST PAPUA.  pic.twitter.com/18btp4L5e8"	Non_R	otsus di kembalikan ke jakarta karena nkri ilegal di atas tanah papua tdk ada cerita omong kosong evaluasi dan revisi uu otsus cerita lama nkri ilegal di west papua 
"Kapolda Papua Pimpin Upacara Pelepasan Satgas Ops Pam Rah Wan BKO Polda Papua Tahun 2020 Dari Polda Sumsel Dan Polda Bengkulu, Jumat (14/08).
.
.
#Divisihumaspolri #Poldapapuapromoter #Polripromoter #Polriuntukindonesia #Polricegahcorona #Bersamacegahcovid-19 
#HUTRIKe-75 pic.twitter.com/6cevBJ83Iv"	Non_R	kapolda papua pimpin upacara pelepasan satgas ops pam rah wan bko polda papua tahun 2020 dari polda sumsel dan polda bengkulu jumat 14 08 divisihumaspolri poldapapuapromoter polripromoter polriuntukindonesia polricegahcorona bersamacegahcovid 19 hutrike 75 
"Selamanya Papua adlh Indonesia🇮🇩
Satu Hati #DukungOtsusPapuaMaju"	Non_R	selamanya papua adlh indonesia satu hati dukungotsuspapuamaju
"PLAY & Let The Fun Begin 😱
Like + RT + Click ⬇️
 https://www.reddeergames.com 
Did You see it? 🙈 pic.twitter.com/45a6EF3ixr"	Non_R	play let the fun begin like click did you see it 
Harusnya aku di papua 2 bulan  baru 2 minggu dipulangin. :(	Non_R	harusnya aku di papua 2 bulan baru 2 minggu dipulangin 
1500 Orang Ditangkap pada 2019 Karena Suarakan West Papua di Indonesia  http://share.babe.news/s/hyrkmmpQvR 	Non_R	1500 orang ditangkap pada 2019 karena suarakan west papua di indonesia 
"Selain bermanfaat, Dana Otsus juga berguna utk pelaksanaan pembangunan di Papua meliputi sejumlah program prioritas, seperti pembangunan kesehatan, pendidikan, pemberdayaan ekonomi rakyat dan infrastruktur.

Yuk #DukungOtsusPapuaMaju 💪🏼 pic.twitter.com/JfbSWZtEB5"	Non_R	selain bermanfaat dana otsus juga berguna utk pelaksanaan pembangunan di papua meliputi sejumlah program prioritas seperti pembangunan kesehatan pendidikan pemberdayaan ekonomi rakyat dan infrastruktur yuk dukungotsuspapuamaju 
"Duta Humas Polda Papua Sosialisasi Peringatan HUT RI Ke-75 Dan Bagikan 150 Bendera Merah Putih, Jumat (14/08).
.
.
#Divisihumaspolri #Poldapapuapromoter #Polripromoter #Polriuntukindonesia #Polricegahcorona #Bersamacegahcovid-19 #Polisiindonesia
#HUTRIKe-75 pic.twitter.com/IUHPxXopDg"	Non_R	duta humas polda papua sosialisasi peringatan hut ri ke 75 dan bagikan 150 bendera merah putih jumat 14 08 divisihumaspolri poldapapuapromoter polripromoter polriuntukindonesia polricegahcorona bersamacegahcovid 19 polisiindonesia hutrike 75 
"Selain bermanfaat, Dana Otsus juga berguna utk pelaksanaan pembangunan di Papua meliputi sejumlah program prioritas, seperti pembangunan kesehatan, pendidikan, pemberdayaan ekonomi rakyat dan infrastruktur.

Yuk #DukungOtsusPapuaMaju 💪🏼 pic.twitter.com/5V7Ez3FLxF"	Non_R	selain bermanfaat dana otsus juga berguna utk pelaksanaan pembangunan di papua meliputi sejumlah program prioritas seperti pembangunan kesehatan pendidikan pemberdayaan ekonomi rakyat dan infrastruktur yuk dukungotsuspapuamaju 
"Yesss
We ❤ Papua
#DukungOtsusPapuaMaju"	Non_R	yesss we papua dukungotsuspapuamaju
"Saya kalo jadi Veronica juga bingung.. Mau balik ke Indonesia nanti ditangkep.

Emang udah bener balikin nyicil.. Pake uang dari fee belain pembebasan Papua."	Non_R	saya kalo jadi veronica juga bingung mau balik ke indonesia nanti ditangkep emang udah bener balikin nyicil pake uang dari fee belain pembebasan papua 
